movies,Title,genresgenregenre,YEAR,Rating
907,"Gay Divorcee, The",Comedy|Musical|Romance,1934,4
950,"Thin Man, The",Comedy|Crime,1934,1
2212,"Man Who Knew Too Much, The",Drama|Thriller,1933,5
3086,Babes in Toyland,Children|Comedy|Fantasy|Musical,1934,1
4278,Triumph of the Will (Triumph des Willens),Documentary,1933,8
5097,Bright Eyes,Comedy|Drama,1934,1
25805,"Atalante, L'",Comedy|Drama|Romance,1933,10
25807,"Black Cat, The",Adventure|Crime|Horror|Thriller,1933,8
32160,Twentieth Century,Comedy,1934,1
39779,Tarzan and His Mate,Action|Adventure,1933,6
70121,'Neath the Arizona Skies,Western,1934,4
98458,Baby Take a Bow,Children|Comedy|Drama,1934,3
99270,Stand Up and Cheer!,Comedy|Musical,1933,6
945,Top Hat,Comedy|Musical|Romance,1935,4
965,"39 Steps, The",Drama|Mystery|Thriller,1935,4
1340,"Bride of Frankenstein, The (Bride of Frankenstein)",Drama|Horror|Sci-Fi,1934,6
1931,Mutiny on the Bounty,Adventure|Drama,1935,9
7132,"Night at the Opera, A",Comedy|Musical|Romance,1934,8
8167,Captain Blood,Action|Adventure|Romance,1935,10
8572,"Littlest Rebel, The",Children|Drama,1935,1
52913,Sylvia Scarlett,Comedy|Drama|Romance,1935,4
87383,Curly Top,Children|Musical|Romance,1934,5
91286,"Little Colonel, The",Children|Comedy|Crime|Drama,1934,3
99085,Our Little Girl,Comedy|Drama|Romance,1934,6
947,My Man Godfrey,Comedy|Romance,1935,5
961,Little Lord Fauntleroy,Drama,1936,7
1932,"Great Ziegfeld, The",Drama|Musical,1936,4
2210,Sabotage,Thriller,1936,5
3462,Modern Times,Comedy|Drama|Romance,1936,10
4999,Dodsworth,Drama|Romance,1935,7
5098,Dimples,Musical,1935,4
7050,Follow the Fleet,Comedy|Musical|Romance,1935,7
7055,Swing Time,Comedy|Musical|Romance,1935,6
7834,After the Thin Man,Comedy|Crime|Mystery|Romance,1936,3
25825,Fury,Drama|Film-Noir,1936,3
25826,Libeled Lady,Comedy|Romance,1935,4
25827,Mr. Deeds Goes to Town,Comedy|Romance,1936,3
25828,"Petrified Forest, The",Crime|Drama|Romance,1936,8
47606,Captain January,Children|Comedy|Musical,1936,1
99089,Poor Little Rich Girl,Adventure|Musical|Romance,1936,3
99273,Stowaway,Adventure|Musical,1935,6
164977,The Gay Desperado,Comedy,1935,8
594,Snow White and the Seven Dwarfs,Animation|Children|Drama|Fantasy|Musical,1936,9
944,Lost Horizon,Drama,1937,5
1066,Shall We Dance,Comedy|Musical|Romance,1937,9
1067,"Damsel in Distress, A",Comedy|Musical|Romance,1936,3
1933,"Life of Emile Zola, The",Drama,1937,8
3134,Grand Illusion (La grande illusion),Drama|War,1936,7
3217,"Star Is Born, A",Drama,1937,9
3447,"Good Earth, The",Drama,1937,3
4800,King Solomon's Mines,Action|Adventure|Drama|Romance|Thriller,1936,6
5099,Heidi,Children|Drama,1936,7
6035,Pépé le Moko,Crime|Drama|Romance,1937,3
6254,"Awful Truth, The",Comedy|Romance,1937,1
6515,You Only Live Once,Crime|Film-Noir,1936,9
8542,"Day at the Races, A",Comedy|Musical,1937,9
25839,Nothing Sacred,Comedy|Drama|Romance,1936,4
25841,Stage Door,Drama,1937,2
25842,Topper,Comedy|Fantasy|Romance,1936,10
32349,Stella Dallas,Drama,1936,9
36553,In Old Chicago,Action|Drama|Musical|War,1936,8
60343,Wee Willie Winkie,Adventure,1937,4
940,"Adventures of Robin Hood, The",Action|Adventure|Romance,1938,5
955,Bringing Up Baby,Comedy|Romance,1938,1
1099,"Christmas Carol, A",Children|Drama|Fantasy,1938,6
1934,You Can't Take It with You,Comedy|Romance,1937,5
2208,"Lady Vanishes, The",Drama|Mystery|Thriller,1938,9
7078,Jezebel,Drama,1937,9
7086,Pygmalion,Comedy|Drama,1938,2
7222,Reefer Madness (a.k.a. Tell Your Children),Comedy|Drama,1937,3
8600,Angels with Dirty Faces,Crime|Drama|Film-Noir|Thriller,1937,4
25850,Holiday,Comedy|Drama|Romance,1938,10
34002,Room Service,Comedy,1938,6
98441,Rebecca of Sunnybrook Farm,Children|Comedy|Drama|Musical,1937,9
98611,Just Around the Corner,Comedy|Musical,1937,2
98803,Little Miss Broadway,Drama|Musical,1938,2
917,"Little Princess, The",Children|Drama,1938,10
919,"Wizard of Oz, The",Adventure|Children|Fantasy|Musical,1938,10
920,Gone with the Wind,Drama|Romance|War,1938,7
927,"Women, The",Comedy,1939,7
936,Ninotchka,Comedy|Romance,1939,3
954,Mr. Smith Goes to Washington,Drama,1938,10
962,They Made Me a Criminal,Crime|Drama,1938,1
2207,Jamaica Inn,Drama,1938,2
2649,Son of Frankenstein,Horror,1938,5
2847,Only Angels Have Wings,Adventure|Drama|Romance,1938,6
2899,Gulliver's Travels,Adventure|Animation|Children,1938,1
4178,Of Mice and Men,Drama,1939,4
6412,Destry Rides Again,Comedy|Western,1939,6
6513,Made for Each Other,Comedy|Drama|Romance,1939,3
6783,"Rules of the Game, The (La règle du jeu)",Comedy|Drama,1938,4
7061,Dark Victory,Drama|Romance,1939,5
7072,Stagecoach,Action|Drama|Romance|Western,1939,4
7079,"Hunchback of Notre Dame, The",Drama,1938,9
7311,"Goodbye, Mr. Chips",Drama|Romance,1939,3
7831,Another Thin Man,Comedy|Crime|Drama|Mystery|Romance,1938,10
7840,Gunga Din,Adventure|Comedy|War,1939,9
8404,"Hound of the Baskervilles, The",Crime|Mystery|Thriller,1938,2
25856,Wuthering Heights,Drama|Romance,1938,10
34018,At the Circus,Comedy|Musical,1938,6
59180,Tarzan Finds a Son!,Action|Adventure,1938,6
99276,Susannah of the Mounties,Drama,1938,1
596,Pinocchio,Animation|Children|Fantasy|Musical,1940,10
898,"Philadelphia Story, The",Comedy|Drama|Romance,1939,3
928,Rebecca,Drama|Mystery|Romance|Thriller,1939,3
929,Foreign Correspondent,Drama|Film-Noir|Mystery|Thriller,1939,6
941,"Mark of Zorro, The",Adventure,1940,5
951,His Girl Friday,Comedy|Romance,1939,6
1281,"Great Dictator, The",Comedy|Drama|War,1939,2
1282,Fantasia,Animation|Children|Fantasy|Musical,1939,8
2637,"Mummy's Hand, The",Horror,1939,1
3095,"Grapes of Wrath, The",Drama,1940,9
3097,"Shop Around the Corner, The",Comedy|Drama|Romance,1939,5
3122,Santa Fe Trail,Drama|Romance|Western,1939,4
3870,Our Town,Drama,1939,6
3929,"Bank Dick, The",Comedy,1940,2
5232,Road to Singapore,Comedy|Musical,1939,3
7219,They Drive by Night,Drama,1940,9
7579,Pride and Prejudice,Comedy|Drama|Romance,1939,1
8522,My Little Chickadee,Comedy|Western,1939,8
8712,My Favorite Wife,Comedy|Romance,1940,6
25852,Gaslight,Mystery|Thriller,1939,7
25865,"Letter, The",Drama|Film-Noir,1940,6
32844,Waterloo Bridge,Drama|Romance|War,1940,6
37211,Go West,Comedy|Musical|Western,1940,6
913,"Maltese Falcon, The",Film-Noir|Mystery,1940,3
923,Citizen Kane,Drama|Mystery,1941,4
956,Penny Serenade,Drama|Romance,1941,5
973,Meet John Doe,Comedy|Drama,1941,10
1029,Dumbo,Animation|Children|Drama|Musical,1941,6
1935,How Green Was My Valley,Drama|Musical|Romance,1941,3
2205,Mr. & Mrs. Smith,Comedy|Romance,1941,10
2206,Suspicion,Film-Noir|Mystery|Thriller,1941,3
2654,"Wolf Man, The",Drama|Fantasy|Horror,1940,2
2935,"Lady Eve, The",Comedy|Romance,1940,1
2936,Sullivan's Travels,Adventure|Comedy|Romance,1941,10
4801,"Little Foxes, The",Drama,1941,4
5234,Road to Zanzibar,Comedy,1940,4
7208,Dr. Jekyll and Mr. Hyde,Drama|Horror,1941,4
7216,High Sierra,Crime|Drama|Film-Noir|Thriller,1941,10
7833,Shadow of the Thin Man,Comedy|Crime|Mystery,1940,8
25868,Ball of Fire,Comedy|Romance,1941,10
25874,Never Give a Sucker an Even Break,Comedy|Musical,1941,7
31116,Sergeant York,Drama|War,1940,4
32882,"Big Store, The",Comedy|Musical,1941,4
42681,49th Parallel,Adventure|Drama|Thriller|War,1941,8
912,Casablanca,Drama|Romance,1942,1
946,To Be or Not to Be,Comedy|Drama|War,1941,10
1936,Mrs. Miniver,Drama|War,1941,10
2018,Bambi,Animation|Children|Drama,1942,10
2204,Saboteur,Mystery|Thriller,1942,10
2638,"Mummy's Tomb, The",Horror,1941,7
2650,"Ghost of Frankenstein, The",Horror,1941,8
2937,"Palm Beach Story, The",Comedy,1942,9
3061,Holiday Inn,Comedy|Musical,1941,8
3628,Flying Tigers,Action|Drama|Romance|War,1942,6
4920,"Now, Voyager",Drama|Romance,1942,10
5177,"Magnificent Ambersons, The",Drama|Romance,1941,1
5231,Road to Morocco,Comedy,1942,6
5644,"Pride of the Yankees, The",Drama,1941,2
6228,"Talk of the Town, The",Comedy|Romance|Thriller,1942,2
6743,Jungle Book,Adventure|Fantasy,1941,8
6856,Yankee Doodle Dandy,Drama|Musical,1941,7
7583,In This Our Life,Drama,1942,6
7584,Woman of the Year,Comedy|Romance,1942,6
7713,Cat People,Drama|Horror|Romance|Thriller,1942,6
8331,"Man Who Came to Dinner, The",Comedy,1941,3
8336,"Major and the Minor, The",Comedy|Romance,1942,6
8422,Kings Row,Drama|Romance,1942,7
8465,Johnny Eager,Crime|Drama|Film-Noir|Romance,1942,1
8765,This Gun for Hire,Crime|Film-Noir|Thriller,1941,3
25886,Random Harvest,Drama|Romance,1941,1
45179,"Glass Key, The",Crime|Drama|Film-Noir|Mystery,1941,1
71525,A-Haunting We Will Go,Comedy,1941,10
897,For Whom the Bell Tolls,Adventure|Drama|Romance|War,1943,8
2203,Shadow of a Doubt,Crime|Drama|Thriller,1942,4
2651,Frankenstein Meets the Wolf Man,Horror,1943,9
2653,Son of Dracula,Horror,1943,9
3377,Hangmen Also Die!,Drama|War,1942,9
3611,Saludos Amigos,Animation|Children|Comedy,1943,1
3936,Phantom of the Opera,Horror|Musical|Thriller,1943,8
4923,Guadalcanal Diary,Action|War,1943,8
5001,Sahara,Action|Drama|War,1942,5
5825,"Life and Death of Colonel Blimp, The",Drama|Romance|War,1943,2
6477,"Song of Bernadette, The",Drama,1942,3
7883,I Walked with a Zombie,Drama|Horror,1943,1
8612,Lassie Come Home,Adventure|Children|Drama,1942,3
8700,Destination Tokyo,Adventure|War,1942,3
25882,"Hard Way, The",Drama,1943,3
25891,Heaven Can Wait,Comedy|Fantasy|Romance,1943,10
25898,Day of Wrath (Vredens dag),Drama,1943,8
45679,"Seventh Victim, The",Drama|Film-Noir|Horror|Mystery,1942,1
47493,Cabin in the Sky,Fantasy|Musical,1942,6
77435,This Is the Army,Comedy|Musical|War,1942,1
128235,Stormy Weather,Comedy|Documentary|Drama,1943,4
906,Gaslight,Drama|Thriller,1944,1
918,Meet Me in St. Louis,Musical,1944,2
942,Laura,Crime|Film-Noir|Mystery,1943,7
1069,"Murder, My Sweet",Crime|Film-Noir|Thriller,1943,5
1269,Arsenic and Old Lace,Comedy|Mystery|Thriller,1943,1
1937,Going My Way,Comedy|Drama|Musical,1943,3
2202,Lifeboat,Drama|War,1944,3
2635,"Mummy's Curse, The",Horror,1943,4
2636,"Mummy's Ghost, The",Horror,1944,8
2647,House of Frankenstein,Horror,1944,10
3435,Double Indemnity,Crime|Drama|Film-Noir,1944,9
3643,"Fighting Seabees, The",Action|Drama|War,1944,10
6983,Jane Eyre,Drama|Romance,1943,2
7059,National Velvet,Children|Drama,1944,9
7215,To Have and Have Not,Adventure|Drama|Romance|Thriller|War,1944,5
25900,"Curse of the Cat People, The",Drama,1944,6
25901,"Henry V (Chronicle History of King Henry the Fift with His Battell Fought at Agincourt in France, The)",Drama|War,1943,1
25904,Ministry of Fear,Drama|Film-Noir|Thriller,1943,9
25906,Mr. Skeffington,Drama|Romance,1943,8
25911,"Woman in the Window, The",Crime|Film-Noir|Thriller,1944,5
33587,"Uninvited, The",Horror|Mystery|Romance,1943,8
38384,Hail the Conquering Hero,Comedy,1943,2
931,Spellbound,Mystery|Romance|Thriller,1944,6
966,A Walk in the Sun,Drama|War,1944,8
1024,"Three Caballeros, The",Animation|Children|Musical,1944,7
1337,"Body Snatcher, The",Drama|Horror|Thriller,1944,9
1938,"Lost Weekend, The",Drama,1945,7
2612,Mildred Pierce,Drama|Film-Noir,1945,10
2920,Children of Paradise (Les enfants du paradis),Drama|Romance,1944,9
3599,Anchors Aweigh,Comedy|Musical,1944,5
3849,The Spiral Staircase,Horror|Mystery|Thriller,1944,5
3966,Detour,Crime|Film-Noir,1944,4
4194,I Know Where I'm Going!,Drama|Romance|War,1944,4
4969,And Then There Were None,Crime|Mystery,1945,7
5169,Scarlet Street,Film-Noir,1945,1
5304,"Rome, Open City (a.k.a. Open City) (Roma, città aperta)",Drama|War,1945,7
7702,"Bells of St. Mary's, The",Drama,1945,4
7832,"Thin Man Goes Home, The",Comedy|Crime|Mystery,1945,5
8460,State Fair,Musical|Romance,1944,3
8482,"Picture of Dorian Gray, The",Drama|Fantasy|Horror,1944,4
8583,"Clock, The",Adventure|Drama|Romance,1944,6
8584,Leave Her to Heaven,Drama|Film-Noir,1944,10
25916,They Were Expendable,Drama|War,1944,6
47714,Blithe Spirit,Comedy|Drama|Fantasy|Romance,1945,10
61634,Son of Lassie,Children|Drama,1944,6
80346,"Song to Remember, A",Drama,1944,4
87598,"Dolly Sisters, The",Drama|Musical|Romance,1945,4
930,Notorious,Film-Noir|Romance|Thriller,1946,5
953,It's a Wonderful Life,Children|Drama|Fantasy|Romance,1945,9
960,Angel on My Shoulder,Crime|Drama,1945,7
1284,"Big Sleep, The",Crime|Film-Noir|Mystery,1946,5
1939,"Best Years of Our Lives, The",Drama|War,1946,3
2099,Song of the South,Adventure|Animation|Children|Musical,1945,4
2927,Brief Encounter,Drama|Romance,1946,4
2940,Gilda,Drama|Film-Noir|Mystery|Romance,1946,4
3775,Make Mine Music,Animation|Children|Musical,1945,1
3792,Duel in the Sun,Drama|Romance|Western,1946,10
3965,"Strange Love of Martha Ivers, The",Drama|Film-Noir,1946,6
5233,Road to Utopia,Comedy,1946,7
5375,"Harvey Girls, The",Comedy|Musical|Western,1946,3
5601,"Yearling, The",Children|Drama,1945,2
7064,Beauty and the Beast (La belle et la bête),Drama|Fantasy,1945,3
7210,My Darling Clementine,Western,1946,9
7728,"Postman Always Rings Twice, The",Crime|Drama|Film-Noir|Thriller,1946,2
7943,"Killers, The",Crime|Film-Noir,1945,2
8003,Bedlam,Drama|Horror,1945,6
8208,"Razor's Edge, The",Drama,1946,10
8766,Black Angel,Drama|Film-Noir|Mystery,1946,8
25920,"Blue Dahlia, The",Crime|Drama|Film-Noir|Mystery|Thriller,1946,3
25927,"Stranger, The",Drama|Film-Noir|Thriller,1946,5
33760,Anna and the King of Siam,Drama|Romance,1946,10
47728,Green for Danger,Crime|Mystery,1946,1
68872,Paisan (Paisà),Drama|War,1946,8
943,"Ghost and Mrs. Muir, The",Drama|Fantasy|Romance,1947,9
964,Angel and the Badman,Romance|Western,1946,8
1068,Crossfire,Crime|Film-Noir,1947,7
1154,T-Men,Film-Noir,1947,6
1940,Gentleman's Agreement,Drama,1947,10
2066,Out of the Past,Film-Noir,1946,7
2201,"Paradine Case, The",Drama,1946,8
2398,Miracle on 34th Street,Comedy|Drama,1947,3
3349,"Perils of Pauline, The",Comedy,1946,3
3380,Railroaded!,Film-Noir,1947,2
3632,Monsieur Verdoux,Comedy|Crime,1946,9
3656,Lured,Crime|Film-Noir|Mystery|Thriller,1947,1
3759,Fun and Fancy Free,Animation|Children|Musical,1946,8
4184,"Bishop's Wife, The",Comedy|Drama|Romance,1947,1
5167,My Favorite Brunette,Comedy|Mystery,1946,2
5289,Body and Soul,Drama|Film-Noir,1947,4
6047,Dead Reckoning,Drama|Film-Noir|Mystery,1946,9
6467,Quai des Orfèvres (Jenny Lamour),Crime|Drama,1946,10
6603,"Double Life, A",Crime|Drama|Film-Noir,1946,9
7058,Life with Father,Comedy,1947,3
7217,Dark Passage,Crime|Drama|Film-Noir|Romance|Thriller,1946,1
7826,"Secret Life of Walter Mitty, The",Comedy|Romance|Thriller,1946,4
7835,Song of the Thin Man,Comedy|Crime|Drama|Musical|Mystery|Romance,1947,7
8338,Black Narcissus,Drama,1946,2
8420,Possessed,Drama|Film-Noir,1946,1
8611,"Farmer's Daughter, The",Comedy,1946,3
8695,"Bachelor and the Bobby-Soxer, The",Comedy,1946,9
25929,Nightmare Alley,Drama|Film-Noir,1947,1
25930,Odd Man Out,Crime|Drama|Film-Noir|Thriller,1947,10
25940,"Lady from Shanghai, The",Drama|Film-Noir|Mystery,1947,9
41585,Kiss of Death,Crime|Drama|Film-Noir,1947,10
66686,"Unsuspected, The",Drama|Film-Noir|Thriller,1947,3
746,Force of Evil,Film-Noir,1947,3
1152,He Walked by Night,Crime|Film-Noir|Thriller,1947,2
1153,Raw Deal,Film-Noir,1948,3
1254,"Treasure of the Sierra Madre, The",Action|Adventure|Drama|Western,1948,7
1941,Hamlet,Drama,1948,5
2176,Rope,Crime|Drama|Thriller,1948,2
3089,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette),Drama,1947,5
3334,Key Largo,Crime|Drama|Film-Noir|Thriller,1947,8
3928,Abbott and Costello Meet Frankenstein,Comedy|Horror,1947,4
5230,"Paleface, The",Comedy|Western,1947,3
5434,"Sorry, Wrong Number",Drama|Film-Noir|Thriller,1947,10
6276,Wake of the Red Witch,Action|Adventure|Drama,1947,3
7070,Red River,Action|Adventure|Western,1947,8
7919,Drunken Angel (Yoidore tenshi),Drama|Film-Noir,1948,6
8341,Oliver Twist,Adventure|Crime|Drama,1947,2
8463,Johnny Belinda,Drama,1947,7
8711,Mr. Blandings Builds His Dream House,Comedy,1947,5
8718,"Snake Pit, The",Drama,1947,3
8767,"Big Clock, The",Crime|Film-Noir|Thriller,1947,5
25937,Easter Parade,Musical|Romance,1948,3
25941,Letter from an Unknown Woman,Drama|Romance,1948,4
25947,Unfaithfully Yours,Comedy,1948,2
31973,Germany Year Zero (Germania anno zero) (Deutschland im Jahre Null),Drama|War,1948,5
32371,Call Northside 777,Crime|Drama|Film-Noir,1947,1
46664,"Fallen Idol, The",Drama|Mystery|Thriller,1947,8
126006,Rudolph the Red-Nosed Reindeer,Animation|Children|Fantasy,1948,5
963,"Inspector General, The",Musical,1948,8
1026,So Dear to My Heart,Children|Drama,1948,2
1212,"Third Man, The",Film-Noir|Mystery|Thriller,1949,10
1942,All the King's Men,Drama,1948,1
2200,Under Capricorn,Drama,1948,3
2430,Mighty Joe Young,Adventure|Children|Drama,1949,4
3606,On the Town,Comedy|Musical|Romance,1949,6
3964,"Adventures of Ichabod and Mr. Toad, The",Animation|Children,1948,2
4338,Twelve O'Clock High,Drama|War,1949,1
5440,She Wore a Yellow Ribbon,Western,1949,1
6650,Kind Hearts and Coronets,Comedy|Drama,1949,7
7121,Adam's Rib,Comedy|Romance,1949,5
7212,I Was a Male War Bride,Comedy|Romance,1949,9
7407,Africa Screams,Adventure|Comedy,1949,5
7924,Stray Dog (Nora inu),Drama|Film-Noir|Thriller,1949,1
8257,Battleground,Action|Drama|War,1949,7
8263,Take Me Out to the Ball Game,Comedy|Musical|Romance,1948,1
8459,"Heiress, The",Drama|Romance,1949,1
8491,White Heat,Crime|Drama|Film-Noir,1948,10
8751,Gun Crazy (a.k.a. Deadly Is the Female),Crime|Drama|Film-Noir,1948,1
8752,"Set-Up, The",Drama|Film-Noir|Romance,1949,10
8768,Criss Cross,Crime|Drama|Film-Noir,1949,4
25945,They Live by Night,Crime|Film-Noir|Romance,1949,4
25952,"Letter to Three Wives, A",Comedy|Drama,1949,9
42217,Late Spring (Banshun),Drama,1948,8
83603,Fern flowers (Fleur de fougère),Animation,1949,7
115139,Challenge to Lassie,Children|Drama,1948,9
755,Kim,Children|Drama,1949,2
922,Sunset Blvd. (a.k.a. Sunset Boulevard),Drama|Film-Noir|Romance,1949,3
926,All About Eve,Drama,1949,9
934,Father of the Bride,Comedy,1950,3
1022,Cinderella,Animation|Children|Fantasy|Musical|Romance,1950,2
2187,Stage Fright,Mystery|Romance|Thriller,1950,1
3088,Harvey,Comedy|Fantasy,1949,8
3341,Born Yesterday,Comedy,1949,3
3364,"Asphalt Jungle, The",Crime|Film-Noir,1950,9
3780,Rocketship X-M,Sci-Fi,1949,10
5291,Rashomon (Rashômon),Crime|Drama|Mystery,1950,9
5826,Rio Grande,Romance|Western,1949,8
6273,In a Lonely Place,Drama|Film-Noir|Mystery|Romance,1950,4
6405,Treasure Island,Adventure|Children,1950,1
6429,Winchester '73,Western,1949,1
6739,At War with the Army,Comedy|Musical|Romance,1950,2
7196,"Men, The",Drama,1950,6
7223,D.O.A.,Drama|Film-Noir|Mystery,1950,7
7395,Cheaper by the Dozen,Comedy|Drama,1950,7
25962,King Solomon's Mines,Action|Adventure|Romance,1950,8
25965,Summer Stock,Comedy|Musical|Romance,1949,4
31770,Night and the City,Film-Noir|Thriller,1949,6
32369,Panic in the Streets,Crime|Drama|Film-Noir|Thriller,1949,2
44073,Stromboli,Drama,1950,10
52378,No Way Out,Drama|Film-Noir,1949,4
59832,Where the Sidewalk Ends,Crime|Drama|Film-Noir,1950,4
